ID,chen_class
1636-283,1
BH 261,1
Djor 2,1
HP 1,1
IC 1276,1
Lynga 7,1
NGC 104,1
NGC 4372,1
NGC 5927,1
NGC 6171,1
NGC 6218,1
NGC 6266,1
NGC 6293,1
NGC 6304,1
NGC 6316,1
NGC 6325,1
NGC 6342,1
NGC 6352,1
NGC 6355,1
NGC 6356,1
NGC 6362,1
NGC 6366,1
NGC 6380,1
NGC 6388,1
NGC 6397,1
NGC 6440,1
NGC 6496,1
NGC 6522,1
NGC 6528,1
NGC 6539,1
NGC 6540,1
NGC 6553,1
NGC 6558,1
NGC 6569,1
NGC 6624,1
NGC 6626,1
NGC 6637,1
NGC 6638,1
NGC 6642,1
NGC 6652,1
NGC 6656,1
NGC 6717,1
NGC 6723,1
NGC 6749,1
NGC 6752,1
NGC 6760,1
NGC 6838,1
Pal 1,1
Pal 8,1
Pal 10,1
Pal 11,1
Ter 1,1
Ter 2,1
Ter 3,1
Ter 4,1
Ter 5,1
Ter 6,1
Ter 9,1
Ter 12,1
NGC 5946,1
NGC 5986,1
NGC 6093,1
NGC 6121,1
NGC 6139,1
NGC 6144,1
NGC 6254,1
NGC 6256,1
NGC 6273,1
NGC 6287,1
NGC 6333,1
NGC 6401,1
NGC 6402,1
NGC 6441,1
NGC 6453,1
NGC 6517,1
NGC 6541,1
NGC 6544,1
NGC 6681,1
NGC 6712,1
NGC 6809,1
Pal 6,1
Ton 2,1
NGC 6535,1
Djor 1,1
NGC 4833,1
NGC 5897,1
NGC 6235,1
NGC 6284,1
Ter 10,1
NGC 5139,1
E 3,1
2MASS-GC02,1
Liller 1,1
UKS 1,1
ESO-SC06,0
IC 1257,0
NGC 1261,0
NGC 1851,0
NGC 1904,0
NGC 2298,0
NGC 2808,0
NGC 288,0
NGC 362,0
NGC 4147,0
NGC 5286,0
NGC 6205,0
NGC 6229,0
NGC 6341,0
NGC 6779,0
NGC 6864,0
NGC 7089,0
NGC 7099,0
NGC 7492,0
Pal 2,0
NGC 5634,0
NGC 5904,0
NGC 6981,0
NGC 7078,0
NGC 6426,0
NGC 6584,0
Arp 2,0
NGC 2419,0
NGC 6715,0
Pal 12,0
Ter 7,0
Ter 8,0
Whiting 1,0
AM 1,0
Eridanus,0
Pal 3,0
Pal 4,0
Pyxis,0
AM 4,0
NGC 5694,0
NGC 6934,0
Pal 14,0
NGC 5824,0
Pal 15,0
NGC 6101,0
NGC 3201,0
IC 4499,0
NGC 5466,0
NGC 7006,0
Pal 13,0
NGC 4590,0
NGC 5024,0
NGC 5053,0
NGC 5272,0
Pal 5,0
Rup 106,0
